Year,League,Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
1990,AL,Seattle Mariners,43,28.0,3.95,162,6207,5474,640,1419,251,26,107,610,105.0,51.0,596,749.0,0.259,0.333,.373,0.707,98,2043,140.0,40.0,41.0,54.0,41.0,1227.0
1990,AL,Texas Rangers,40,27.5,4.17,162,6177,5469,676,1416,257,27,110,641,115.0,48.0,575,1054.0,0.259,0.331,.376,0.707,98,2057,142.0,34.0,54.0,44.0,45.0,1168.0
1990,AL,Toronto Blue Jays,41,27.0,4.73,162,6223,5589,767,1479,263,50,167,729,111.0,52.0,526,970.0,0.265,0.328,.419,0.747,103,2343,125.0,28.0,18.0,62.0,35.0,1113.0
1995,NL,Atlanta Braves,40,27.9,4.48,144,5464,4814,645,1202,210,27,168,618,73.0,43.0,520,933.0,0.25,0.326,.409,0.735,91,1970,106.0,40.0,56.0,34.0,37.0,988.0
1995,NL,Chicago Cubs,43,28.2,4.81,144,5543,4963,693,1315,267,39,158,648,105.0,37.0,440,953.0,0.265,0.327,.430,0.757,101,2134,110.0,34.0,71.0,35.0,46.0,956.0
1995,NL,Cincinnati Reds,47,28.4,5.19,144,5575,4903,747,1326,277,35,161,694,190.0,68.0,519,946.0,0.27,0.342,.440,0.782,106,2156,92.0,40.0,62.0,50.0,42.0,1001.0
1995,NL,Colorado Rockies,41,29.5,5.45,144,5647,4994,785,1406,259,43,200,749,125.0,59.0,484,943.0,0.282,0.35,.471,0.82,94,2351,118.0,56.0,82.0,31.0,47.0,1017.0
1995,NL,Florida Marlins,46,28.1,4.71,143,5569,4886,673,1278,214,29,144,636,131.0,53.0,517,916.0,0.262,0.335,.406,0.741,95,1982,105.0,49.0,69.0,48.0,36.0,1028.0
1995,NL,Houston Astros,44,28.1,5.19,144,5857,5097,747,1403,260,22,109,694,176.0,60.0,566,992.0,0.275,0.353,.399,0.752,105,2034,114.0,69.0,78.0,47.0,58.0,1153.0
1995,NL,Los Angeles Dodgers,49,27.4,4.4,144,5544,4942,634,1303,191,31,140,593,127.0,45.0,468,1023.0,0.264,0.329,.400,0.729,99,1976,99.0,30.0,68.0,35.0,46.0,1049.0
1995,NL,Montreal Expos,45,26.2,4.31,144,5453,4905,621,1268,265,24,118,572,120.0,49.0,400,901.0,0.259,0.32,.394,0.714,85,1935,107.0,56.0,58.0,32.0,43.0,970.0
1995,NL,New York Mets,45,27.4,4.56,144,5581,4958,657,1323,218,34,125,617,58.0,39.0,446,994.0,0.267,0.33,.400,0.73,95,1984,105.0,42.0,92.0,43.0,44.0,1041.0
1995,NL,Philadelphia Phillies,50,29.7,4.27,144,5613,4950,615,1296,263,30,94,576,72.0,25.0,497,884.0,0.262,0.332,.384,0.716,90,1901,107.0,46.0,77.0,41.0,38.0,1114.0
