newspaper,league,date,url
Pittsburg dispatch. [volume],players league,1890-10-22,https://chroniclingamerica.loc.gov/lccn/sn84024546/1890-10-22/ed-1/seq-6.pdf
The Montgomery advertiser. [volume],players league,1915-02-02,https://chroniclingamerica.loc.gov/lccn/sn84020645/1915-02-02/ed-1/seq-8.pdf
The Salt Lake herald. [volume],players league,1890-02-09,https://chroniclingamerica.loc.gov/lccn/sn85058130/1890-02-09/ed-1/seq-3.pdf
The Wichita daily eagle. [volume],players league,1891-01-13,https://chroniclingamerica.loc.gov/lccn/sn82014635/1891-01-13/ed-1/seq-7.pdf
The evening times. [volume],players league,1911-12-22,https://chroniclingamerica.loc.gov/lccn/sn85042373/1911-12-22/ed-1/seq-3.pdf
Pittsburg dispatch. [volume],players league,1890-11-23,https://chroniclingamerica.loc.gov/lccn/sn84024546/1890-11-23/ed-1/seq-16.pdf
The Ogden standard. [volume],players league,1916-11-11,https://chroniclingamerica.loc.gov/lccn/sn85058396/1916-11-11/ed-1/seq-16.pdf
The Paducah sun. [volume],players league,1905-05-03,https://chroniclingamerica.loc.gov/lccn/sn85052116/1905-05-03/ed-1/seq-2.pdf
The Lakeland evening telegram.,players league,1922-08-15,https://chroniclingamerica.loc.gov/lccn/sn95047222/1922-08-15/ed-1/seq-4.pdf
The Wichita daily eagle. [volume],players league,1890-08-24,https://chroniclingamerica.loc.gov/lccn/sn82014635/1890-08-24/ed-1/seq-7.pdf
The Telegraph-courier. [volume],players league,1890-06-05,https://chroniclingamerica.loc.gov/lccn/sn85040310/1890-06-05/ed-1/seq-6.pdf
El Paso herald.,players league,1918-01-14,https://chroniclingamerica.loc.gov/lccn/sn88084272/1918-01-14/ed-1/seq-9.pdf
The Detroit times. [volume],players league,1910-11-25,https://chroniclingamerica.loc.gov/lccn/sn83016689/1910-11-25/ed-1/seq-6.pdf
The Waterbury Democrat. [volume],players league,1939-03-16,https://chroniclingamerica.loc.gov/lccn/sn82014085/1939-03-16/ed-1/seq-16.pdf
