newspaper,league,date,url
The Washington tribune. [volume],negro national league,1927-01-21,https://chroniclingamerica.loc.gov/lccn/sn87062236/1927-01-21/ed-1/seq-6.pdf
Evening star. [volume],negro national league,1940-07-11,https://chroniclingamerica.loc.gov/lccn/sn83045462/1940-07-11/ed-1/seq-47.pdf
The Phoenix index.,negro national league,1942-08-29,https://chroniclingamerica.loc.gov/lccn/sn96060866/1942-08-29/ed-1/seq-6.pdf
The Detroit tribune.,negro national league,1943-08-14,https://chroniclingamerica.loc.gov/lccn/sn92063852/1943-08-14/ed-1/seq-16.pdf
Evening star. [volume],negro national league,1946-02-26,https://chroniclingamerica.loc.gov/lccn/sn83045462/1946-02-26/ed-1/seq-9.pdf
The Indianapolis times. [volume],negro national league,1929-05-16,https://chroniclingamerica.loc.gov/lccn/sn82015313/1929-05-16/ed-1/seq-15.pdf
Jackson advocate. [volume],negro national league,1947-06-14,https://chroniclingamerica.loc.gov/lccn/sn79000083/1947-06-14/ed-1/seq-6.pdf
Jackson advocate. [volume],negro national league,1959-08-22,https://chroniclingamerica.loc.gov/lccn/sn79000083/1959-08-22/ed-1/seq-7.pdf
The Indianapolis times. [volume],negro national league,1931-05-07,https://chroniclingamerica.loc.gov/lccn/sn82015313/1931-05-07/ed-1/seq-11.pdf
Metropolitan news.,negro national league,1935-05-07,https://chroniclingamerica.loc.gov/lccn/sn91055359/1935-05-07/ed-1/seq-1.pdf
St. Paul recorder. [volume],negro national league,1948-05-07,https://chroniclingamerica.loc.gov/lccn/sn83016804/1948-05-07/ed-1/seq-3.pdf
Evening star. [volume],negro national league,1953-02-27,https://chroniclingamerica.loc.gov/lccn/sn83045462/1953-02-27/ed-1/seq-46.pdf
Evening star. [volume],negro national league,1947-05-22,https://chroniclingamerica.loc.gov/lccn/sn83045462/1947-05-22/ed-1/seq-20.pdf
Detroit tribune. [volume],negro national league,1933-05-20,https://chroniclingamerica.loc.gov/lccn/sn83016294/1933-05-20/ed-1/seq-7.pdf
Evening star. [volume],negro national league,1944-06-08,https://chroniclingamerica.loc.gov/lccn/sn83045462/1944-06-08/ed-1/seq-16.pdf
Jackson advocate. [volume],negro national league,1942-08-01,https://chroniclingamerica.loc.gov/lccn/sn79000083/1942-08-01/ed-1/seq-6.pdf
The Indianapolis times. [volume],negro national league,1924-04-14,https://chroniclingamerica.loc.gov/lccn/sn82015313/1924-04-14/ed-1/seq-9.pdf
The Michigan chronicle. [volume],negro national league,1942-06-13,https://chroniclingamerica.loc.gov/lccn/sn83045324/1942-06-13/ed-1/seq-21.pdf
The Michigan chronicle. [volume],negro national league,1944-05-06,https://chroniclingamerica.loc.gov/lccn/sn83045324/1944-05-06/ed-1/seq-14.pdf
The Detroit tribune.,negro national league,1939-04-15,https://chroniclingamerica.loc.gov/lccn/sn92063852/1939-04-15/ed-1/seq-7.pdf
The Detroit tribune.,negro national league,1948-06-02,https://chroniclingamerica.loc.gov/lccn/sn92063852/1948-06-02/ed-1/seq-6.pdf
The Detroit tribune.,negro national league,1958-10-25,https://chroniclingamerica.loc.gov/lccn/sn92063852/1958-10-25/ed-1/seq-5.pdf
Arizona sun. [volume],negro national league,1948-08-13,https://chroniclingamerica.loc.gov/lccn/sn84021917/1948-08-13/ed-1/seq-1.pdf
The northwestern bulletin. [volume],negro national league,1923-08-04,https://chroniclingamerica.loc.gov/lccn/sn90060931/1923-08-04/ed-1/seq-6.pdf
